geoCode,Bitcoin,Inflation,cost of living,lowvol
AF,87,8,5,0
AL,93,5,2,0
DZ,88,10,2,0
AS,56,27,17,0
AD,96,4,0,0
AO,93,5,2,0
AI,100,0,0,0
AQ,0,0,0,0
AG,81,13,6,0
AR,98,2,0,1
AM,92,6,2,0
AW,89,7,4,0
AU,82,14,4,1
AT,91,9,0,1
AZ,91,7,2,0
BS,82,11,7,0
BH,83,12,5,0
BD,74,22,4,1
BB,78,13,9,0
BY,89,9,2,0
BE,94,6,0,1
BZ,70,21,9,0
BJ,95,5,0,0
BM,80,11,9,0
BT,83,15,2,0
BO,95,4,1,0
BA,94,4,2,0
BW,74,23,3,0
BV,0,0,0,0
BR,99,1,0,1
IO,0,0,0,0
VG,79,13,8,0
BN,72,24,4,0
BG,92,6,2,1
BF,93,7,0,0
BI,77,21,2,0
KH,84,13,3,0
CM,90,9,1,0
CA,82,14,4,1
CV,91,4,5,0
BQ,97,3,0,0
KY,82,10,8,0
CF,87,13,0,0
TD,85,15,0,0
CL,95,5,0,1
CN,76,21,3,0
CX,0,0,0,0
CC,0,0,0,0
CO,98,2,0,1
KM,77,23,0,0
CG,86,13,1,0
CD,76,22,2,0
CK,75,25,0,0
CR,94,4,2,1
HR,95,4,1,1
CU,98,2,0,0
CW,95,3,2,0
CY,91,6,3,1
CZ,96,4,0,1
CI,91,9,0,0
DK,77,22,1,1
DJ,76,20,4,0
DM,69,20,11,0
DO,95,3,2,1
EC,96,3,1,1
EG,76,18,6,1
SV,100,0,0,1
GQ,94,6,0,0
ER,100,0,0,0
EE,92,6,2,0
SZ,77,19,4,0
ET,70,27,3,0
FK,69,31,0,0
FO,90,10,0,0
FJ,44,49,7,0
FI,94,5,1,1
FR,77,23,0,1
GF,77,23,0,0
PF,91,9,0,0
TF,0,0,0,0
GA,82,17,1,0
GM,66,24,10,0
GE,91,6,3,0
DE,91,9,0,1
GH,78,19,3,1
GI,83,13,4,0
GR,90,6,4,1
GL,82,18,0,0
GD,69,20,11,0
GP,74,26,0,0
GU,78,12,10,0
GT,96,3,1,0
GG,69,23,8,0
GN,81,17,2,0
GW,100,0,0,0
GY,62,29,9,0
HT,67,32,1,0
HM,0,0,0,0
HN,94,5,1,0
HK,83,15,2,1
HU,89,9,2,1
IS,86,10,4,0
IN,77,18,5,1
ID,92,7,1,1
IR,91,5,4,1
IQ,88,8,4,0
IE,81,12,7,1
IM,78,17,5,0
IL,92,6,2,1
IT,97,3,0,1
JM,69,23,8,0
JP,79,18,3,1
JE,74,16,10,0
JO,85,10,5,0
KZ,84,13,3,0
KE,78,18,4,1
KI,73,27,0,0
XK,96,3,1,0
KW,83,12,5,0
KG,88,9,3,0
LA,86,11,3,0
LV,90,8,2,0
LB,85,10,5,0
LS,68,29,3,0
LR,49,39,12,0
LY,87,8,5,0
LI,90,10,0,0
LT,91,8,1,1
LU,86,13,1,0
MO,84,14,2,0
MG,85,14,1,0
MW,49,45,6,0
MY,82,15,3,1
MV,80,15,5,0
ML,85,14,1,0
MT,83,10,7,0
MH,76,24,0,0
MQ,75,25,0,0
MR,86,12,2,0
MU,64,29,7,0
YT,78,22,0,0
MX,94,5,1,1
FM,30,70,0,0
MD,93,6,1,0
MC,0,0,0,0
MN,85,13,2,0
ME,90,7,3,0
MS,100,0,0,0
MA,85,13,2,1
MZ,86,10,4,0
MM,73,22,5,0
NA,87,12,1,0
NR,0,0,0,0
NP,73,22,5,0
NL,97,3,0,1
NC,87,12,1,0
NZ,76,16,8,1
NI,93,5,2,0
NE,85,13,2,0
NG,93,5,2,1
NU,0,0,0,0
NF,0,0,100,0
KP,0,0,0,0
MK,92,6,2,0
MP,69,18,13,0
NO,93,6,1,1
OM,75,16,9,0
PK,78,20,2,1
PW,69,21,10,0
PS,87,8,5,0
PA,94,4,2,0
PG,69,29,2,0
PY,97,3,0,0
PE,96,4,0,1
PH,59,36,5,1
PN,0,0,0,0
PL,96,4,0,1
PT,94,4,2,1
PR,76,16,8,0
QA,80,12,8,0
RO,93,6,1,1
RU,89,9,2,1
RW,62,32,6,0
RE,69,31,0,0
WS,30,56,14,0
SM,97,3,0,0
SA,83,12,5,1
SN,83,16,1,0
RS,92,6,2,1
SC,71,15,14,0
SL,48,41,11,0
SG,79,17,4,1
SX,87,7,6,0
SK,96,4,0,1
SI,97,3,0,1
SB,55,38,7,0
SO,76,19,5,0
ZA,81,16,3,1
GS,0,0,0,0
KR,79,17,4,1
SS,53,42,5,0
ES,98,2,0,1
LK,66,25,9,0
BL,70,30,0,0
SH,84,12,4,0
KN,87,9,4,0
LC,71,20,9,0
MF,89,9,2,0
PM,100,0,0,0
VC,70,25,5,0
SD,77,18,5,0
SR,88,9,3,0
SJ,84,0,16,0
SE,80,19,1,1
CH,92,8,0,1
SY,91,6,3,0
ST,100,0,0,0
TW,78,19,3,1
TJ,88,10,2,0
TZ,73,25,2,0
TH,91,7,2,1
TL,67,26,7,0
TG,93,7,0,0
TK,0,0,0,0
TO,29,71,0,0
TT,79,13,8,0
TN,86,11,3,0
TM,95,4,1,0
TC,80,12,8,0
TV,0,0,0,0
TR,99,1,0,1
UM,0,0,0,0
VI,69,17,14,0
UG,73,23,4,0
UA,90,8,2,1
AE,84,11,5,1
GB,66,14,20,1
US,72,20,8,1
UY,96,3,1,0
UZ,90,8,2,0
VU,56,38,6,0
VA,0,0,0,0
VE,99,1,0,1
VN,93,5,2,1
WF,0,0,0,0
EH,91,9,0,0
YE,88,9,3,0
ZM,58,37,5,0
ZW,56,36,8,0
AX,85,15,0,0
